,expr
1959,"$[0, 2\pi$"
1960,$\mathsf{TVaR}_{p^*}(X)$
1961,$\hat\rho(A_k) =\rho(\rho((X+k)^{\oplus N})) = \rho(\rho(X^{\oplus N})+kN)= \hat\rho(A_0) +  k\rho(N)$
1962,$n-k-1$
1963,$0 = s_0 < s_1 < s_2 < s_3 = 1$
1964,$X=1_B$
1965,$s\approx 0.15$
1966,$f_G$
1967,$\mathsf{E}[X_{d}]$
1968,"$(-\infty,0)$"
1969,$\mathsf{E}[X_T]=\mathsf{E}[X_0]$
1970,$\displaystyle\int_0^\infty xdF(x)$
1971,$\text{AEP}(L)=1/y$
1972,"$e',s', r', Q$"
1973,$S=\bigcup_j D^n_j$
1974,$d \bar S/da$
1975,$f(p)=(1-p)\phi'(p)=-(1-p)g''(1-p)$
1976,$\mathsf{E}\_\mathsf{Q}[(X\wedge a)(a)]$
1977,$\nabla \zeta=0$
1978,$\rho(U)$
1979,$\mathsf{VaR}_p(X) = \mathsf{E}[X] + \pi(X)\mathsf{SD}(X)$
1980,$f(y;\theta)=(-\theta)e^{\theta y}$
1981,$\mathsf{E}_{\mathsf Q}[X_i\mid X\le a](1-g(S(a))) + a\mathsf{E}_{\mathsf Q}[X_i/X\mid X >a]g(S(a))$
1982,$F_g(x)$
1983,$g(s)=1-(1-s)^{{{p}}}$
1984,$U(1)=1$
1985,$\bar P_x:=\bar A_x / \bar a_x$
1986,$\alpha_2 S$
1987,$2^8-1=255$
1988,$f(z)=E[e^{izX}]$
1989,$\mathsf{TVaR}_p(X)=r$
1990,$P(A | \mathcal{G})(\omega)$
1991,$-\phi(d^*)<0$
1992,$l'>l$
1993,$10^{-12}$
1994,"$\mathsf{TVaR}_1(X)=\mathrm{ess\,sup}[X]$"
1995,$\int_0^\infty x^{-1}e^{-x/\mu}dx=\infty$
1996,$F(a+)=\lim_{x\downarrow a} F(x)$
1997,$P^T(F\mid t)$
1998,$h(s)=1-g(1-s)$
1999,$g(s) = vs  + d$
2000,$\mathsf E_g$
2001,$N=kg m/s^2$
2002,$f''(\omega)=2s/\omega^3 >0$
2003,$r=0.025$
2004,$\rho_\phi=\mathsf{E}$
2005,$\rho(X)=\int_\Omega X(\omega)\theta(\omega)dP(\omega)$
2006,$ = \mathsf{E}_{\mathsf{Q}}[X_i\mid X= x]$
2007,$C(t)$
2008,$\mathbf {gS}$
2009,$p_{i^*} < p^*\le p_{i^*+1}$
2010,$P = 1.5$
2011,$X = \sum_t D_t$
2012,$\gamma$
2013,"$p\in (0, 1)$"
2014,$X_t - X_s$
2015,$\mathsf{Pr}hi(z)$
2016,$0.999999999$
2017,$X_t>a_t$
2018,$a_x=4$
2019,$\mathsf{Pr}(A\cap B)=\mathsf{Pr}(A)$
2020,$U + (U+x)$
2021,$B(b)>0$
2022,$D\subset\mathbf C$
2023,$x\mapsto x^k$
2024,$P^T(A\mid t)$
2025,"$\mathsf{MON,NORM}$"
2026,$P \le \dfrac{\mathsf{E}[U]}{\lambda} \approx \dfrac{\mathsf{E}[X]}{\lambda}$
2027,$-\rho(-X)\le \mathsf{E}[X]$
2028,$\bar P_t$
2029,$V'$
2030,$\log_{10}$
2031,"$k=0,\dots,n-1$"
2032,"$f:[0,1]\to[0,1]$"
2033,$1-s_j$
2034,$1=ps_g + (1-p)s_b$
2035,$a(X_i;X)\le \rho(X_i)$
2036,$M(a)=g(S(a))-S(a)$
2037,"$397,308,200** payable in installments over the three-year life of the contract. The minimum payments remaining under this contract as of December 31, 1999 are $"
2038,$t<1<0.5<t_2$
2039,$X_T = \mathsf{E}[X_\infty\mid\mathscr{F}]$
2040,$g(s)=e^\alpha p/(e^\alpha p + (1-p))$
2041,$t=n\wedge T_x$
2042,$d(y;\mu) = \dfrac{(y-\mu)^2}{2}$
2043,$X \ge  U_s$
2044,$v=1/(1+r)$
2045,$\theta=s\theta_1+(1-s)\theta_2$
2046,$\mathsf{E}[X1_{U_X\ge p}]\ge \mathsf{E}[XB]$
2047,$p\le s\le 1$
2048,$X + \epsilon Y$
2049,"$790,965,203 |       -8.0% |       $"
2050,$y < q_A(p)$
2051,"$(x_j, y_j)$"
2052,$Z = Y\lambda$
2053,$\mu^2$
2054,"$\mathscr F_1=\sigma(I_1,\dots,I_n)$"
2055,$x_0 + \sum_{i\ge 1} (X_i-X_{i-1})$
2056,$X_n = 2^n \cdot I(A_n)$
2057,$P_D=P_Q$
2058,$\beta_i(x) = \alpha_i(x)$
2059,$\nabla_y f=-\nabla_y G$
2060,$\beta=0.57$
2061,$L=L(\nu)$
2062,$\| f^*-f\|_2$
2063,$A_i\cup A_i^c$
2064,$0 \le w \le 1$
2065,$h(p)$
2066,$M=\iota Q$
2067,"$\sim 696{,}000 \ \text{km}$"
2068,$X\wedge 30$
2069,$t_*$
2070,"$A=(a,b]$"
2071,$t<T$
2072,$10^{12} - 10^{15}$
2073,$D_i=\mathsf{E}_Q[X_i-U_i]$
2074,$p^{th}$
2075,$L_0^a$
2076,$(X-a_1)^+ \leftrightarrow$
2077,"$v_A, v_E$"
2078,$\tilde X(x) = x$
2079,$\rho(X)=\int_0^1 \mathsf{TVaR}_p(X)m(dp)$
2080,$f_{opt} =(pb - q)/b$
2081,$X'=X\circ T$
2082,$\forall a\ \forall b\ \exists x\ [a\in x \wedge b\in x]$
2083,$\iota=0.10$
2084,$f:I\to\Omega$
2085,$Z_i$
2086,$S^i= \sum_j p_j \kappa_i(j)\Delta X_j$
2087,$g'(1)=1$
2088,$\int_x^\infty (1-F_X(t))dt=\int_x^\infty (t-x)dF(t)=\mathsf{E}[(X-x)^+]$
2089,$\mathscr F_0$
2090,$Y_t = X_t^2 - t$
2091,$0\le \pi\le 1$
2092,$X\wedge a\Delta S$
2093,$\tilde p=\tilde F(F^{-1}(p))=1-\tilde S(F^{-1}(p))=1-g(S(F^{-1}(p)))=1-g(1-F(F^{-1}(p)))=1-g(1-p)$
2094,$\mathsf{E}[X_ig'(S(X))]$
2095,$T_m$
2096,$\mathsf{E}[X_i \mid X=x]=\mathsf{E}_{\mathsf Q}[X_i \mid X=x]$
2097,$x^{\ast}=\mathsf{VaR}_p(X)$
2098,$1-t=g(1-s)$
2099,$h(x)=f(x)/S(x)$
2100,$M = 0.6054$
2101,$\mathsf{E}[X_1\mid X=20]= 14$
2102,$0.06333 / 247.798 = 0.026\%$
2103,$g(s)=\displaystyle\frac{s}{1-p}\wedge 1$
2104,$k<a$
2105,$Q_0=0.25$
2106,$h(s)=g(s)$
2107,$P_X(A)=\mathsf P(X\in A)= F(b)-F(a)$
2108,$\mathscr P$
2109,$10^4 - 10^6$
2110,$R_0(t)<P(0)$
2111,$g'(1-p)$
2112,$95M to \$
2113,$k$
2114,$\sigma_s$
2115,$J$
2116,$p_1=p_0<1$
2117,$\mathsf{Pr}r(X_i>z_p)=p$
2118,$\int_{\mathsf{E}[X]}^\infty (x-\mathsf{E}[X])^2 f(x)dx$
2119,$\theta_1$
2120,$g'(S(x))>1$
2121,"$p:\Omega\times \mathscr{F} \to [0,1]$"
2122,$U(\omega)=\omega=0.\omega_1\omega_2\dots$
2123,$0.0476/(1-0.0476)=0.05$
2124,$\rho:\mathcal{X}\to \mathbb{R}$
2125,$\mathsf{E}[L]/\mathsf{E}_Q[L]$
2126,$\Delta X_k = X_{k+1}-X_k$
2127,$\omega = 1-\sqrt{1-s}$
2128,$p_1+p_2=1$
2129,$\bar P_1$
2130,$V(c)=0$
2131,"$k=(0.04, 0.4)$"
2132,$\rho(X)>\max(X) g(0+)=\infty$
2133,$q_{X}(p)=\sqrt{2}\mathsf{Pr}hi^{-1}(p)$
2134,$\mathsf{E}(X)=\sum_i x_i$
2135,"$(p,t)$"
2136,$m=n$
2137,"$x+y\wedge aX =\min(x+y,aX)$"
2138,$\mathsf{E}[X_i \mid X=a]$
2139,$(\delta^*-d)\sqrt{FS}$
2140,$A=X_1+\cdots X_N$
2141,"$j=5,6$"
2142,$\mathsf{ABOVE}$
2143,$Q=1-g(S)$
2144,"$\rho_1,\rho_2$"
2145,$2.0-3.0$
2146,$-8$
2147,$\text{E}(G)=M_G'(0)=1$
2148,$\iota(0.5)=\iota^{\star}$
2149,$0\le q\le 1$
2150,$\rho(A) + \rho(B)$
2151,$P(A)=1-\alpha$
2152,$\frac{\sum_{y=1}^N p^y \phi(X^y)}{\sum_{y=1}^N p^y}$
2153,"$\rho(X) = \sup_{\mu\in \mathcal{A}} \langle \mu, X \rangle$"
2154,$\omega\in J$
2155,$\int_A Xd\mathsf{Pr}$
2156,$a(X_i; X)\le \sup(X_i)$
2157,$\hat\rho_N$
2158,$U(x)$
2159,$1/\sqrt{\lambda_i}$
2160,$X \mapsto kX$
2161,$\bar  P_i(a)$
2162,$(dW_t)^2=dt$
2163,$f(x)$
2164,$r(X)$
2165,$\mathsf{Pr}r(X=2)=0.5$
2166,${}^{[>81]}$
2167,$p_0 \le p^\ast \le p_1$
2168,$1000(1+t)$
2169,$\rho(X)=\mathsf{E}[Xg'(S(X))]=\mathsf{E}[\sum_i X_i g'(S(X)))]=\sum_i \mathsf{E}[X_ig'(S(X))]$
2170,"$g(0)=0,\ g(1)=1$"
2171,$\Leftrightarrow$
2172,$q(1-p)$
2173,$\phi_{m}^o$
2174,"$\theta\in[0,1]$"
2175,$g(s)=s^{0.3}$
2176,$\mathsf{E}_{\mathsf Q}[X\wedge a]$
2177,$\omega'=\omega$
2178,$\bar X\ge 0$
2179,$1-g(s)$
2180,"$X_{1,0}=\cdots=X_{m,0}=X_0=0$"
2181,$(g)$
2182,$\alpha<0$
2183,$\rho(\lambda X) \le\lambda\rho(X)$
2184,$C^1$
2185,"$T:(\Omega,\mathscr{F})\to (E,\mathsf{E}E)$"
2186,$\Delta\mathit{MV}$
2187,$\ge P(1)$
2188,$d>0$
2189,$a=$
2190,$\rho(W_1\wedge a_1 \wedge a_1')$
2191,$g^a=g^{\log_g(n)}=n$
2192,"$(2,-\x*0.75)$"
2193,$l(y;\theta)=\log(c(y)) +y\theta-\kappa(\theta)$
2194,"$\int_0^a F(t)\,dt$"
2195,$\mathsf{E}[X_2Z]$
2196,$m^2W(m)$
2197,$\lim_{s\downarrow 0}g(s)>0$
2198,$Y=y$
2199,$\mathbf{A}$
2200,$\mathsf{E}_{\mathsf Q}[X_i]$
2201,$\phi_W(a)=\mathsf{E}[W/Y \mid Y>a]$
2202,$x=160$
2203,$A=g^a \pmod p$
2204,$P_{act} = P + F_0 > P$
2205,"$\iota, \iota(p)$"
2206,$q \in G$
2207,$.} with $
2208,$p_i(a)=\phi_i(a)p(a)$
2209,$\bar P(a)\le a$
2210,$\DeltaR$
2211,$Y$
2212,$\mathsf{E}[Z_1\mid X]=\tilde Z$
2213,"$(s,g(s))=({s:.3g},{gs:.3g})$"
2214,"$\mathbf{x}=(1-t, t)$"
2215,$0.8 \le p < 0.9$
2216,$P=g(S)$
2217,$\tau a$
2218,"$\beta_i(t\mathbf{x}, x)$"
2219,$X_2 = \mathsf E[X\mid \mathscr F_2]=X$
2220,$v_3<v_1<0$
2221,$A'$
2222,"$1-p, p$"
2223,"$\mathsf{Ga}(\alpha, \beta)$"
2224,$M_T(y)=w(e^{y})$
2225,$\check M$
2226,$E2$
2227,$e^{X_t}$
2228,$-S(a)+\tau=0$
2229,$L-L^*$
2230,$X(p)=q_X(p)$
2231,"$(\mu,\sigma)$"
2232,$\mu^*$
2233,$E_i\in\mathcal F$
2234,$X\preceq_n Y$
2235,$X\wedge a = \sum_i X_i(a)$
2236,$s \to 1$
2237,"$0.1, 0.4, 0.5,\dots, 0.9$"
2238,$x^*$
2239,$(g(s)-s)/(1-g(s))$
2240,$\rho_{(g)}$
2241,$X^{\oplus 2}$
2242,"$6,000            | \$"
2243,"$94,525           | \$"
2244,$(1-X)^+$
2245,$\exp(\mu+\sigma^2/2)$
2246,"$X_{t+1,2}$"
2247,$(8t+10t)/2$
2248,$a=10$
2249,$\mathrm{sgn}(z)|z|^{1/(q-1)}/\|z\|_p^{q/p}$
2250,$\mathsf{Pr}hi^{-1}(i/21)$
2251,"$(\Omega, \mathcal{F}, \mathsf{P})$"
2252,$R_1(t)<P(1)$
2253,$f(L)\in \mathcal{B}B$
2254,$m'(0) = (m_1-m_0)/s_1$
2255,$P/Q= \gamma/(1-\gamma)$
2256,$M_B(t)=(1-p)+pe^t$
2257,$\bar q(s/2) \ge 2\bar q(s)$
2258,$30-11=19$
2259,"$\theta\in\Theta\setminus\mathrm{int}\,\Theta$"
2260,"$\px=\sum_i\int_B \mathsf{E}[X_i\mid \mathscr{G}]\,d\mathsf{Pr}$"
2261,$=\displaystyle\int_0^\infty S(x)dx$
2262,"$1/2, 1/4$"
2263,$\tau(\theta)=\kappa'(\theta)$
2264,$N' := kNT$
2265,$\mathcal D(X)=c\mathsf{TVaR}_p(X-\mathsf{E}[X])$
2266,$\mathsf{E}(X_i/X \mid X > a)$
2267,$q_L(\tau_\sigma^{-1}(U)$
2268,$B_2$
2269,$q(Y)$
2270,$\omega \le \omega_I$
2271,"$\mathsf{E}(\min(X_i,a))=\mathsf{E}(X_i\wedge a)$"
2272,$\mathsf{E}_{\mathsf{Q}}[Y]=\mathsf{E}[Yg'(S(X))]$
2273,$(a_1'-a_1)^+$
2274,$\mathsf{TVaR}_p(X)=51.156$
2275,$\kappa_i(s)$
2276,$\mathsf{E}[YZ]$
2277,$\mathsf E[e^{r_1Z_1}]$
2278,$\mathsf{Pr} H\xi$
2279,$r_P$
2280,$\tau_\sigma(p)=\int_0^p\sigma(u)du$
2281,$s=0.02$
2282,$dx/x$
2283,$=\mathrm{MV}(T(X))$
2284,$\mathsf Q(\omega)\ge 0$
2285,$X_t\not\to X_0$
2286,$4/6$
2287,$L^1(\mathbb R)\to L^1(\mathbb R)$
2288,$\rho(X_0)$
2289,$\mathbf {\beta_{2}g(S)\Delta X}$
2290,$MgAl_2O_4$
2291,$s^{\star} \le s_{R+1} \le s_m=1$
2292,$1\times 51$
2293,"$g(s)= \displaystyle\int_0^s \phi(1-p)dp = \min(s/(1-\alpha), 1)$"
2294,$\mathscr{G}amma(\alpha):=\int_0^\infty x^{\alpha-1}e^{-x}dx$
2295,"$t\in[0,t_*]$"
2296,$\mathsf{E}(X-c_l)_+$
2297,$L_a^{a+y}(X)$
2298,$\mathbf {g(S)}$
2299,${}_b\bar V$
2300,$h(s) = (100 s)\wedge 1$
2301,$Y=-\rho_{t+1}(X)$
2302,$Q(a) = 1-P(a)= \nu F(a)$
2303,$\to$
2304,$x\mapsto x^{3/2}$
2305,$\kappa(\theta)=-\sqrt{-2\theta}$
2306,"$I_{k, n}=(k/n, (k+1)/n]$"
2307,"$(ccc.south |- mcc.south)+(0,-0.5)$"
2308,$\theta=-\alpha/\mu$
2309,$\int_0^\epsilon (e^{sx}-1)j_n(x)dx \approx \int_0^\epsilon sxj_n(x)dx$
2310,$s^\alpha$
2311,"$(\mu,\alpha)$"
2312,$< 1$
2313,$p\mapsto \mathsf{TVaR}_p(X)$
2314,$0$
2315,$V(\mu)=1/(\tau^{-1})'(\mu)=\mu^2$
2316,$r=\rho(X)$
2317,$X_{-2}=C_1 + \cdots + C_n$
2318,$\iota_U > \iota^*\dfrac{r_i+a_i}{1-a}$
2319,$g = T_{\nu}(\mathsf{var}phi^{-1}(s)+\lambda)$
2320,$\iota_U > 3$
2321,$b<1$
2322,$D/L$
2323,$σ$
2324,$n=g^a\pmod{p} \mapsto a=\log_g(a)$
2325,"$t\not=0,1$"
2326,$\gamma = 2/\sqrt(a) = 2\nu$
2327,$LR_{Wang}$
2328,"$\rho[E[X\mid I], \mu)$"
2329,$0\le \tau\le 1$
2330,"$ap\prod_{j=1}^{k-1} \left(a(p+k)+j\right)\, \frac{\delta_k}{k!}$"
2331,"$(fun2.north west)+(-\smlspc,\smlspc)$"
2332,$(g(s)-s)/(1-s)$
2333,$\mathsf{Pr}r(X=1)=s$
2334,"$80K, \$"
2335,$g$
2336,$\sigma_U = 1$
2337,$\mathsf{Pr}(X_n>\epsilon)\to 0$
2338,$\mathscr{F}=\mathscr{G}$
2339,$n^{-1}\mathsf{M}'\mathsf{M}=\mathsf{id}$
2340,$\mathsf{Pr} H\xi=\mathsf{Pr} HX$
2341,$\mathsf{E}[Y]$
2342,"$s,t,s^\star \ge s_R > 0$"
2343,$\mathcal F_t$
2344,$\mu g=0$
2345,$\mathsf{Var}(Y)=np/(1-p)^2$
2346,$\nu=\nu(F(a))=\nu(p)$
2347,$\tau_\sigma(p)=\int_0^p \sigma$
2348,"$9,100+$"
2349,$\bar\iota(x)$
2350,$Y=1$
2351,$\mathsf{E}(X_i\mid X=x)f_X(x)/x$
2352,$r\to\infty$
2353,$p_{j-}$
2354,$1-p_s>0.5$
2355,$\mathcal{A}_\rho$
2356,"$[0.628, 0,647]$"
2357,$1.38 \times 10^{-23}$
2358,$\mathsf{E}[Y\tilde W] = n^{-1}\sum_T \mathsf{E}[Y \cdot W\circ T] = n^{-1}\sum \mathsf{E}[Y\circ T^{-1} \cdot W] = \mathsf{E}[YW]$
2359,$\{A_i\}$
2360,"$(0,3)$"
2361,"$(Bob) + (0,-1)$"
2362,$\mathsf{E}[X]+\lambda\sigma(X)$
2363,$m(1+\frac{m}{a})$
2364,$\rho(X\wedge a(X))$
2365,$X_{t \wedge \tau_n}$
2366,$\{X < X_n\}$
2367,$B_1$
2368,$b\le a$
2369,"$\nu(B)=\int_B X\,d\mathsf{Pr}=\mathsf{E}[X1_B]$"
2370,$1-\alpha = q_- + p_i$
2371,$X'\Delta S$
2372,$1 premium with a cat EL of $
2373,"$(0,t_1+t_2]$"
2374,$x_i=n_i + i\xi$
2375,$L_d^l(x)$
2376,$|x|^2$
2377,"$1/2,1/4,1/4$"
2378,"$1-F(q(p); \theta,\dots)$"
2379,$p = (1-s)$
2380,$\mathsf{E}[X_i\mid X\le a]F(a) + a\mathsf{E}[X_i/X\mid X >a]S(a)$
2381,$a(X)=3.769$
2382,$S(x)\to 0$
2383,$\alpha(v) \le K$
2384,"$\beta\in[-1,1]$"
2385,$\max X_i$
2386,$\rho(L) = F^{-1}(p)g'(1-p)dp$
2387,$K_\delta(x) = K(x/\delta) / \delta$
2388,$\mathsf{E}(L_\sigma)= \int_0^1 q_L(s)\sigma(s)ds =:\pi_\sigma(L)$
2389,$\sigma=2.581$
2390,$\alpha_i(x) =\mathsf{E}[X_i/X\mid X>x]$
2391,$\rho(A)\le\rho(A_0) +\mathsf E[X]\rho(N)$
2392,$\ge\mathsf{VaR}_p$
2393,$B(X)$
2394,$\rho(x)=x$
2395,$s>s^*$
2396,$\mathbf{m}=(m_j)$
2397,$\gamma_a(x) = \mathsf{E}[ (a \wedge X) / X | X > x]$
2398,$L=43.1$
2399,$\alpha(\mathsf{Q})=\infty$
2400,$\alpha=\alpha^{\min}$
2401,$\mathsf{TR}$
2402,$p_m-p_{m-}$
2403,$-dS=f(x)dx$
2404,"$\mathcal{M} = \{ f \mid \|f\|_q\le c, f\ge 0 \}$"
2405,$T=3$
2406,$\tilde r$
2407,$r = r_1 + r_2$
2408,$\mathsf{TVaR}_\alpha(X)=\frac{1}{1-\alpha}\int_\alpha^1 F_X^{-1}(t)dt$
2409,$\kappa_i(x)$
2410,$e =$
2411,$p=F(a)$
2412,$\mathsf{Pr}(N=n)=e^{-\lambda}\lambda^n/n!$
2413,$j>L$
2414,$\sigma^2=1/\lambda$
2415,"$196,600.80 = \$"
2416,$2\le x\le 8$
2417,$\mu/b$
2418,$c(y)$
2419,"$X \in (X_k,X_{k+1}]$"
2420,$\sum_j g(S_j) \Delta X_j = \sum_j q_j X_j$
2421,$S(x)/(1-p)$
2422,$n\times n$
2423,$D\rho_{X_g}(X_c)$
2424,$g=s$
2425,$\rho_g(\cdot)$
2426,$\Longrightarrow$
2427,$M(a)=d\bar M(a)/da$
2428,$g(1-p)$
2429,$\mathsf{E}[X_i \mid X=\hat x]=\mathsf{E}[X_i \mid X=F^{-1}(\tilde p)]$
2430,"$EL_a =\mathsf{Pr}r(Y>a) = \mathsf{Pr}r(\max(X_1, \dots, X_N)>a)=\mathsf{Pr}r(\text{one or more events $"
2431,$\iota_k$
2432,$1-g(S(a))$
2433,"$(\mathsf{E}[X_i]-\mathsf{E}[X_{i,2}(a)]/\mathsf{E}[X_i]$"
2434,$\bar Q(x)$
2435,$\lambda \rho(X)$
2436,$=0$
2437,$L > a$
2438,$m_i(s)\to\mathsf E[X_i]$
2439,$X_0 = \sum_{i = 1}^{N}X_i$
2440,$x=1.38$
2441,$p(a) = S(a) + \rho k(a)$
2442,$10^{9}$
2443,"$\int_K^\infty \mathbb{P}(|X_i| > t) \, dt$"
2444,$f(n;\mu)=\dfrac{e^{-\mu}\mu^n}{n!}$
2445,$n\ge 1$
2446,"$\rho(X) = \sup_{\zeta\in\mathcal{A}} \langle \zeta,X \rangle$"
2447,$-4$
2448,$b=-1$
2449,$\mathsf{E}[XZ(X)]$
2450,$x_1 < x_2 < \dots < x_n$
2451,"$(s^\star,1)$"
2452,"$\rho(X)=\mathsf{TVaR}_1=\mathrm{ess\,sup}$"
2453,$\mathbf {a_{1}'}$
2454,$\mathbb{R}\to\mathbb{R}$
2455,$L(X)=e^{kX}/\mathsf{E}[e^{kX}]$
2456,$x_h>x=\mathsf{VaR}$
2457,$l(y;\mu)=y\log(\mu)-\mu$
2458,$1/p$
2459,$\rho(m)=\rho(0)-m$
2460,"$F_X(x, \lambda)=\mathsf{Pr}r(X < x)+\lambda \mathsf{Pr}r(X=x)$"
2461,$\exp(h(y))$
2462,$a \le b$
2463,$W_0=0$
2464,$\mathsf{var}(A)=\mathsf{E}(N)\mathsf{E}(X^2)$
2465,$\theta=\mu$
2466,$Y\in L^\infty$
2467,$V(\cdot)$
2468,$256=2^8$
2469,$T_0$
2470,$dQ/dP$
2471,$\mu(\{p\})=1$
2472,$\alpha(Q)=\infty$
2473,$\sum_i x_iX_i$
2474,$f_X$
2475,$1 \times 10^{16}$
2476,$\mathsf{E}[Y'\mid X']=X'$
2477,$p(a)$
2478,$s \to 0$
2479,$\mathsf{E}[X_T] = \mathsf{E}[X_0]$
2480,$m_i:=m(\{p_i\})\ge 0$
2481,$\mathsf{Pr} H\xi = \mathsf{Pr} HX$
2482,$g(s)\ge 0g(0) + sg(1)=s$
2483,$\rho(A_k) \le \rho(A_0) + k\rho(N)$
2484,$\mathcal G\subset\mathcal F$
2485,$\delta(s)=g(s)g(k/s)-g(k)$
2486,$Y>a$
2487,$R(x)$
2488,$p=(2+\bar\alpha)/(1+\bar\alpha)$
2489,$\Vert \cdot\Vert$
2490,$=L/(1+r)$
2491,$0 \le c \le 1$
2492,$D^n\rho_{X\wedge a}(\cdot)$
2493,$E_\mathsf{Q}[X_i]$
2494,$\rho(X)=T_{m_1}(X)-v(m_1)$
2495,"$(ckey\x.north west)+(-\boundpad,\boundpad)$"
2496,"$[x,x+dx)$"
2497,$S^*(a)$
2498,$\mathsf{Pr}r(X\le q_l(p))\ge p$
2499,$i$
2500,$\lambda S(a)$
2501,$a<1$
2502,$X=X_0+X_{-1}+X_{-2}+X_{-3}$
2503,$a < 1$
2504,$g(t)=h(t)\{ l(t) < 1\}$
2505,$(1+\gamma)F_0$
2506,"$\mathsf{TVaR}_1=\mathrm{ess\,sup}$"
2507,$μ = t ν$
2508,"$\eta_{p,\alpha_1}(X) < \eta_{p,\alpha_2}(X)$"
2509,$\sup_i f_i$
2510,$X(\omega_1)<\cdots < X(\omega_n)$
2511,"$j=1,\dots,r$"
2512,"$\omega\in [0,0.1)\cup [0.25, 0.35) \cup [0.5, 0.6) \cup [0.75, 0.85)$"
2513,$R^1$
2514,$h_2$
2515,$\rho(n^{-1}\sum X\circ T) = n^{-1}\sum \rho(X\circ T)$
2516,$\tilde X_1 \le X_1$
2517,"$\mathsf{Y}=(Y_1,\dots,Y_r)$"
2518,$\mu(A) = \nu(A)$
2519,$S_i(x)$
2520,$s^U \ge s^{\star}$
2521,$da$
2522,$g(s)=vs +d > s$
2523,$\theta > 1$
2524,"$[0,1]\to[0,1]$"
2525,$\mu\sqrt{\mu^2+4\mu}$
2526,$k<1$
2527,"$397,090,870 |             |       $"
2528,$T(X):=y\wedge (X-r)^+$
2529,$10^1$
2530,"$A = \{ \zeta \mid \|\zeta\|_q\le c, \zeta\ge 0 \}$"
2531,$P_1(t)\le P(1)$
2532,$\mathsf P(X=\mathsf{VaR}_p(X))>0$
2533,"$p_0\in(0,1)$"
2534,${}^{[<43]}$
2535,$r_h$
2536,$\beta_i(a)$
2537,$10^{{-6}}$
2538,$g(S(a))\ge S(a)$
2539,$a_1' = a_0-X_1$
2540,$1 layer covering losses at or above the $
2541,$\sigma^2\mathsf{Po}(\mu/\sigma^2)$
2542,$\mathsf{E}[X_1] \le R_1(t) \le \rho(X_1)$
2543,$y_{1}=2$
2544,$\mathsf{Pr}r[X > A] \le \epsilon$
2545,$\mathsf E[T_s T_t] \ge \mathsf E[T_s] \mathsf E[T_t]=g(s)g(t)$
2546,$g(st)= \displaystyle\frac{st}{1-p} \le \displaystyle\frac{s}{1-p}\displaystyle\frac{t}{1-p}=g(s)g(t)$
2547,"$(3,9,11,\dots, 3)$"
2548,$1100 \le x \le 1250$
2549,$nG$
2550,$d=iv$
2551,$\rho(\tilde X_1)\le \rho(X_1)$
2552,"$\phi(s) = (1-p)^{-1}1_{[p, 1]}(s)$"
2553,$\rho(X) = \mathsf{E}[gX]$
2554,$X_t = \mathsf{E}[X \mid \mathscr{F}_t]$
2555,$a/(1000+X_1)$
2556,$g(s)$
2557,$\lambda\downarrow 0$
2558,$\omega'\in\Delta_\omega$
2559,"$j=R+1,\dots,m-1$"
2560,$a=P+Q$
2561,$0 = \Delta_m s_m = \Delta_m = \phi_m$
2562,$n=2$
2563,$\mathsf{E}[X_\nu]=\nu\mathsf{E}[X_1]$
2564,$X_n(\omega)= 1$
2565,$\mathsf{E}_Q[L]$
2566,$W$
2567,$Y = NX$
2568,$d^*=(\log(A/L) + (r_h-\mu_L + \sigma^2/2))/\sigma\sqrt{T}$
2569,$\int_0^1 j(x)dx=\infty$
2570,"$\mathsf P((a,b])=b-a$"
2571,$P(0)=R_0(0)=x_0$
2572,$\max_{s\le t} X_s - X_t$
2573,$a-L_0^a(X)$
2574,$\mathcal F$
2575,$X_{t_n}\to X_t$
2576,"$\mathsf{corr}(X_i, X)$"
2577,$X \preceq_n Y$
2578,$1_{U>0.95}$
2579,$s\mapsto g(s)$
2580,$\int_{-f_{\max{}}}^{f_{\max{}}}$
2581,"$8,954,000 |       93.9% |        $"
2582,$0\le d\le 1$
2583,$x_h(1-p)$
2584,$\bar S_i(a)=\mathsf{E}[X_i(a)]$
2585,"$A=(-\infty, x]$"
2586,$S_0=1000$
2587,$\mathcal B$
2588,$\mathsf{Pr}r(X < x)=1/6=\mathsf{Pr}r(X\le x)$
2589,$\mathsf{E}(G^3)=g$
2590,$\rho_g(X)=352$
2591,$s_l$
2592,"$S:(\Omega,\mathscr{F})\to(L,\mathcal{A})$"
2593,$A\in\mathcal F'$
2594,$>100$
2595,$\delta F(x)$
2596,$\mathbf M' = \mathbf M(\mathbf E^t)^{-1}$
2597,$\Delta p\times T$
2598,$E[T]=s$
2599,"$\alpha\in [0,1]$"
2600,$\binom{p+k-1}{k}\delta_k$
2601,$0\le (-X_n) \le 1$
2602,"$\rho(X+tY)-\rho(X) = \langle \zeta_t, X+tY \rangle -\rho(X) \le \langle \zeta_t, X+tY \rangle - \langle \zeta_t, X \rangle = \langle \zeta_t, tY \rangle$"
2603,${scale} X$
2604,$t_1$
2605,$\rho(1_A)=1$
2606,$\mathbf {d=2}$
2607,$E[u_j(W_j - X_j + Y_j - H[Y_j])]$
2608,$x_l < x < x_u$
